# Fix print output for fix def1
0.00100000000000001 72.4493264519817 65.973533314641 170.070939671429 291.930419241956 300
0.00200000000000002 1.86771403077945 2.06229280904569 5.44361793311759 312.589049393772 300
0.00300000000000003 54442.1909018075 51649.8892312144 124806.692691608 620.34517589571 300
0.00400000000000003 26.6657225471829 24.1866230274483 64.4418777829399 299.76107736179 300
0.00500000000000004 7.85238573033414 7.37340622748302 19.51503237576 308.343984044174 300
0.00600000000000005 5.01637179117866 4.83942875444013 12.6809469324462 310.97889651224 300
0.00700000000000006 3.59450464253369 3.55259619342467 9.14235021968753 296.645618103978 300
0.00800000000000007 3.27874852144905 3.28673212110259 8.30848494588623 311.809545834439 300
0.00900000000000008 2.75936198458702 2.82083965679648 6.93868108107672 303.802893023078 300
0.0100000000000001 3.16248839421984 3.16812804533485 7.65100158160592 289.778634900007 300
0.0109999999999999 4.7560992422412 4.59662972068221 11.0502382051941 290.403884314463 300
0.0119999999999999 11.7208067856939 10.8144519793049 26.3668109031684 294.890383183056 300
0.0129999999999999 30.6318725546901 27.7779842626489 67.6487854172696 303.13214767724 300
0.0139999999999999 676.117605442813 606.267943036676 1516.79213537925 445.729251797716 300
0.015 436.992000049659 388.364777264526 953.477900165254 296.373882145925 300
0.016 241441.274677077 215683.908855536 507119.788424603 0.0114512505273458 300
0.017 118.494770968428 108.032642099194 235.524744678633 301.748708754874 300
0.018 31402.59001098 31848.8704869742 76802.6142439505 613.316506772526 300
0.019 8.17326001170218 8.04138048796672 15.9384995915215 290.617443059549 300
0.02 126.053776143499 116.083035609583 252.616810957524 297.079162929414 300
0.021 1.13218583000834 1.29114001648471 2.00142040349201 6.91324903080305e-05 300
0.022 1.06353419665053 1.47266148176544 2.76189908312294 302.961468949106 300
0.023 1.74796299499573 2.27057838954395 4.40521397248767 301.118945707132 300
0.024 3.64165394929044 4.47602919981473 9.13743284144788 286.043811874702 300
0.025 13.8924300638522 17.0457011429787 36.9257401852577 291.804745094582 300
0.026 11036.6041385025 14037.7972455553 32567.2845927004 423.953715961903 300
0.0270000000000001 0.892137003050669 1.10436356578055 1.82981647050147 311.053691402375 300
0.0280000000000001 0.93014861278702 1.43466584347904 2.44966943208997 305.404594213391 300
0.0290000000000001 1.40990865391614 2.05863250646261 3.75290406690655 290.603088907088 300
0.0300000000000001 5.0876333978782 6.69392968323355 14.7628004886683 289.300116625232 300
0.0309999999999999 3129.3538950341 3986.7696092212 10425.8804922897 297.34544651533 300
0.0319999999999999 0.621278071009242 0.617093955482886 0.918486951197329 310.567686517644 300
0.0329999999999999 0.677794146244092 0.66100895068232 0.974871476890345 310.165191983513 300
0.0339999999999999 0.689831540063184 0.542237722177739 1.02962624338496 298.3879849828 300
0.0349999999999999 0.839848393894207 0.666019062759387 1.16512428181063 285.891494127482 300
0.0359999999999999 0.805485535579749 0.808244113317661 1.37512254883819 290.717671329502 300
0.037 0.936636019355934 1.03324987215974 1.80853840449538 301.745079526933 300
0.038 9660.78794803037 9526.24453347824 24268.9964808795 0 300
0.039 0.498102957677285 0.335652921965635 0.568107077407675 300.017399050467 300
0.04 0.508421146667663 0.355133696434647 0.615672598026534 299.48555678713 300
0.041 0.512462638679304 0.373322174599634 0.671416405952499 295.076409954858 300
0.042 0.515924725107555 0.39602706140126 0.739959734895154 287.514174774057 300
0.043 0.522436251203081 0.414061307163379 0.815279180289631 295.381674545979 300
0.044 0.548338096362155 0.449060273017802 0.907373841620491 305.101915811922 300
0.045 0.553566433596336 0.466010226435837 0.983639645827163 314.417437289483 300
0.046 0.505478348055204 0.446228164633967 1.02398317011482 308.600783353414 300
0.047 0.539033671745851 0.508611503807018 1.14618799979259 296.106098507083 300
0.0480000000000001 0.604392363929283 0.608610413134012 1.32756332393989 294.125770211904 300
0.0490000000000001 0.695898372477224 0.764450749056239 1.5953745114677 289.257451244444 300
0.0500000000000001 0.837401839991128 0.999917667856875 2.02648201196911 299.414051058328 300
0.0510000000000001 1.19727545431557 1.38931211080286 3.01565298089632 308.098490645902 300
0.0520000000000001 4948.96533092153 5354.57068286059 11724.5955356654 314.113242430021 300
0.0529999999999999 3.56633687725999 4.09973817682143 9.29188046438699 306.806145076163 300
0.0539999999999999 40.8382047444614 47.2765480784633 115.490813500914 302.224159967077 300
0.0549999999999999 231702.433380235 268722.208099684 657041.668146787 0.00197613765027661 300
0.0559999999999999 16.8056372668622 18.1084193257353 40.165129863781 0.0102044005026834 300
0.057 19301.7386435844 22373.3769379878 51789.1186639025 291.010237047892 300
0.058 2.97926915806736 3.13361874100872 7.99399732007458 290.650314967473 300
0.059 14.5476570445682 16.2158708244573 38.8507857253435 285.702168129241 300
0.06 159376.010548151 179308.780140627 419531.152711016 1.91215789401873e-15 300
0.061 56.3554819028015 63.7396690353188 149.247185641727 311.587058348268 300
0.062 1116.17594608807 1266.3873100334 2932.28994757259 318.128819588181 300
0.063 41280.1715882257 46714.1391083426 107275.178558857 293.953862425797 300
0.064 17.8846102983819 20.2288572183699 46.591463384192 288.667648980642 300
0.065 36.7380838103801 41.6651495088064 95.0622620489879 296.254107817266 300
0.066 2007.44664088201 2268.07372228009 5070.79078756782 336.361879795732 300
0.067 6375.88895487723 7189.62867400127 15905.9052997159 413.716740610693 300
0.068 74.7072085499214 85.1339457848706 183.195158023545 299.643950023687 300
0.0690000000000001 7836.07022291324 8778.36156024101 19047.9172789031 406.166437442659 300
0.0700000000000001 8177.07665746198 9131.76423876898 19681.3121704665 405.055570886742 300
0.0710000000000001 24412.2806190229 27178.200811744 58293.4391051437 292.878319231094 300
